,교량명,소재지지번주소,교량 위도,교량 경도
8542,동작교,서울특별시 동작구 동작동 ,37.504264500000005,126.979247
8543,내곡IC,서울특별시 서초구 내곡동 ,37.458558999999994,127.0752875
8544,동작2교,서울특별시 동작구 동작동 ,37.5046035,126.97889599999999
8545,반포대교통과교,서울특별시 서초구 반포동 ,37.519031,126.9942475
8546,신동작2교,서울특별시 동작구 동작동 ,37.5046375,126.97889749999999
8547,서초3교,서울특별시 서초구 서초동 ,37.487382,127.0245645
8548,서초교,서울특별시 서초구 서초동 ,37.501466,127.01921150000001
8549,양재천교,서울특별시 서초구 양재동 ,37.471662499999994,127.032183
8550,신사1고가,서울특별시 서초구 잠원동 ,37.520089,127.017787
8551,신사2고가,서울특별시 서초구 잠원동 ,37.514986,127.015492
8552,탄천2고가교,서울특별시 강남구 대치동 ,37.5092655,127.0752305
8553,탄천1고가교,서울특별시 송파구 문정동 ,37.480406,127.11435599999999
8554,한남대교남단2교,서울특별시 강남구 압구정동 ,37.524468999999996,127.01708199999999
8555,청담1교,서울특별시 강남구 삼성동 ,37.51829,127.067729
8556,잠원고가교,서울특별시 서초구 잠원동 ,37.5191035,127.015028
8557,신천1교,서울특별시 송파구 신천동 ,37.523936500000005,127.1031975
8558,상행1교,서울특별시 송파구 잠실동 ,37.5179305,127.09162549999999
8559,상행2교,서울특별시 송파구 신천동 ,37.5211385,127.09872899999999
8560,하행3교,서울특별시 송파구 신천동 ,37.521468,127.0984305
8561,하행4교,서울특별시 송파구 잠실동 ,37.5181905,127.091497
8562,청담2교,서울특별시 강남구 삼성동 ,37.519009,127.06728000000001
8563,상행3교,서울특별시 송파구 풍납동 ,37.5387145,127.115598
8564,하행2교,서울특별시 송파구 풍납동 ,37.5389175,127.1153735
8565,상행4교,서울특별시 강동구 천호동 ,37.5447575,127.121169
8566,하행1교,서울특별시 강동구 천호동 ,37.5451585,127.1206775
8568,영동대교북단E램프교,서울특별시 성동구 성수동2가 ,37.5343265,127.0586325
8569,두모교접속교,서울특별시 용산구 서빙고동 ,37.5196575,126.9943285
8570,한남대교남단1교,서울특별시 서초구 잠원동 ,37.52169,127.013744
8571,여의상류IC교,서울특별시 동작구 노량진동 ,37.5165895,126.940468
8572,테크노차도육교,서울특별시 광진구 구의동 ,37.535574,127.097272
8573,잠실대교북단램프D교,서울특별시 광진구 자양동 ,37.5294685,127.08947900000001
8574,영동대교북단램프D교,서울특별시 광진구 자양동 ,37.5335095,127.060666
8575,잠실대교북단램프C교,서울특별시 광진구 자양동 ,37.528236,127.08699200000001
8576,반포고가,서울특별시 서초구 반포동 ,37.5064555,127.0172815
8577,개화램프A교,서울특별시 강서구 개화동 ,37.590543,126.8063185
8578,개화램프D교,서울특별시 강서구 개화동 ,37.591598,126.79989499999999
8579,행주3교,서울특별시 강서구 개화동 ,37.59328,126.801968
8580,행주4교,서울특별시 강서구 개화동 ,37.592933,126.801756
8581,양화대교북단램프교,서울특별시 마포구 합정동 ,37.5479025,126.9071745
8583,성산대교북단램프교,서울특별시 마포구 상암동 ,37.5585155,126.89337850000001
